,model,clip,predicted,dylan_label,ellie_label,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
0,spatial_unsup,3_1b_task1 2578-3028,WALK,y,y,WALK=0.0083,THROW=0.0081,PLAY=0.0075,PUT=0.0071,GET=0.0069,WASH=0.0064,EAT=0.0058,GO=0.0057,TAKE=0.0046,PICK=0.0041,DROP=0.0039,OPEN=0.0037,HOLD=0.0025,GIVE=0.0018
1,cnn_unsup,3_1b_task1 2578-3028,THROW,n,n,THROW=0.9884,PLAY=0.9871,GIVE=0.9860,PUT=0.9844,EAT=0.9829,HOLD=0.9826,TAKE=0.9820,GO=0.9815,PICK=0.9811,OPEN=0.9803,DROP=0.9802,GET=0.9789,WALK=0.9769,WASH=0.9737
2,spatial_sup,3_1b_task1 2578-3028,WALK,y,y,WALK=0.6824,PUT=0.4617,EAT=0.2027,DROP=0.1985,PLAY=0.1187,GO=-0.0203,THROW=-0.0551,GET=-0.1517,HOLD=-0.2207,PICK=-0.3185,WASH=-0.4002,GIVE=-0.4340,OPEN=-0.4471,TAKE=-0.4835
3,cnn_sup,3_1b_task1 2578-3028,GET,y,y,WALK=0.6824,PUT=0.4617,EAT=0.2027,DROP=0.1985,PLAY=0.1187,GO=-0.0203,THROW=-0.0551,GET=-0.1517,HOLD=-0.2207,PICK=-0.3185,WASH=-0.4002,GIVE=-0.4340,OPEN=-0.4471,TAKE=-0.4835
4,rand,3_1b_task1 2578-3028,GET,y,y,,,,,,,,,,,,,,
5,spatial_unsup,3_1b_task1 3028-3478,GIVE,n,n,GIVE=0.8024,DROP=0.7483,PUT=0.7483,WASH=0.7429,HOLD=0.7191,PICK=0.7045,GO=0.6991,WALK=0.6831,PLAY=0.6794,EAT=0.6674,TAKE=0.6489,THROW=0.6355,GET=0.6095,OPEN=0.5228
6,cnn_unsup,3_1b_task1 3028-3478,GIVE,n,n,GIVE=0.9937,OPEN=0.9936,HOLD=0.9912,THROW=0.9906,DROP=0.9898,EAT=0.9891,PLAY=0.9885,PUT=0.9883,GO=0.9883,TAKE=0.9881,PICK=0.9868,GET=0.9793,WASH=0.9779,WALK=0.9734
7,spatial_sup,3_1b_task1 3028-3478,PUT,y,y,PUT=0.5132,GIVE=0.3766,WASH=0.3050,HOLD=0.0739,GO=-0.0121,WALK=-0.0206,TAKE=-0.0819,EAT=-0.1138,DROP=-0.1155,PICK=-0.1395,GET=-0.2313,PLAY=-0.2507,THROW=-0.3539,OPEN=-0.4036
8,cnn_sup,3_1b_task1 3028-3478,TAKE,y,y,PUT=0.5132,GIVE=0.3766,WASH=0.3050,HOLD=0.0739,GO=-0.0121,WALK=-0.0206,TAKE=-0.0819,EAT=-0.1138,DROP=-0.1155,PICK=-0.1395,GET=-0.2313,PLAY=-0.2507,THROW=-0.3539,OPEN=-0.4036
9,rand,3_1b_task1 3028-3478,GO,n,/,,,,,,,,,,,,,,
