,model,clip,predicted,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14
6,rand,3_1b_task1 2578-3028,PLAY,,,,,,,,,,,,,,
5,cnn_sup,3_1b_task1 2578-3028,GET,GET=0.6991,PLAY=0.5916,WASH=0.3725,THROW=0.3204,HOLD=0.2841,EAT=0.1093,DROP=0.0526,TAKE=-0.1193,PICK=-0.1620,GIVE=-0.1977,PUT=-0.2057,GO=-0.2332,OPEN=-0.2772,WALK=-0.4117
4,spatial_with_names_sup,3_1b_task1 2578-3028,WALK,WALK=0.7941,PUT=0.4709,THROW=0.1440,DROP=0.1204,GO=0.0345,GET=0.0037,PLAY=-0.0298,PICK=-0.1477,OPEN=-0.2007,HOLD=-0.2180,EAT=-0.3573,GIVE=-0.3598,TAKE=-0.3778,WASH=-0.4437
3,spatial_sup,3_1b_task1 2578-3028,WALK,WALK=0.6824,PUT=0.4617,EAT=0.2027,DROP=0.1985,PLAY=0.1187,GO=-0.0203,THROW=-0.0551,GET=-0.1517,HOLD=-0.2207,PICK=-0.3185,WASH=-0.4002,GIVE=-0.4340,OPEN=-0.4471,TAKE=-0.4835
1,spatial_with_names_unsup,3_1b_task1 2578-3028,WALK,WALK=0.0092,THROW=0.0084,PLAY=0.0074,PUT=0.0073,EAT=0.0071,GET=0.0067,WASH=0.0064,GO=0.0059,TAKE=0.0049,PICK=0.0043,DROP=0.0038,OPEN=0.0037,HOLD=0.0025,GIVE=0.0017
2,cnn_unsup,3_1b_task1 2578-3028,THROW,THROW=0.9883,PLAY=0.9871,GIVE=0.9859,PUT=0.9843,EAT=0.9828,HOLD=0.9825,TAKE=0.9819,GO=0.9814,PICK=0.9811,OPEN=0.9802,DROP=0.9802,GET=0.9789,WALK=0.9769,WASH=0.9736
0,spatial_unsup,3_1b_task1 2578-3028,WALK,WALK=0.0083,THROW=0.0081,PLAY=0.0075,PUT=0.0071,GET=0.0069,WASH=0.0064,EAT=0.0058,GO=0.0057,TAKE=0.0046,PICK=0.0041,DROP=0.0039,OPEN=0.0037,HOLD=0.0025,GIVE=0.0018
9,cnn_unsup,3_1b_task1 3028-3478,GIVE,GIVE=0.9937,OPEN=0.9936,HOLD=0.9913,THROW=0.9906,DROP=0.9898,EAT=0.9891,PLAY=0.9885,PUT=0.9883,GO=0.9883,TAKE=0.9881,PICK=0.9868,GET=0.9793,WASH=0.9780,WALK=0.9734
10,spatial_sup,3_1b_task1 3028-3478,PUT,PUT=0.5132,GIVE=0.3766,WASH=0.3050,HOLD=0.0739,GO=-0.0121,WALK=-0.0206,TAKE=-0.0819,EAT=-0.1138,DROP=-0.1155,PICK=-0.1395,GET=-0.2313,PLAY=-0.2507,THROW=-0.3539,OPEN=-0.4036
8,spatial_with_names_unsup,3_1b_task1 3028-3478,GIVE,GIVE=0.8024,DROP=0.7483,PUT=0.7483,WASH=0.7429,HOLD=0.7191,PICK=0.7045,GO=0.6991,WALK=0.6831,PLAY=0.6794,EAT=0.6674,TAKE=0.6489,THROW=0.6355,GET=0.6095,OPEN=0.5228
12,cnn_sup,3_1b_task1 3028-3478,TAKE,TAKE=0.5692,DROP=0.3634,WASH=0.3333,PUT=0.3152,GET=0.1839,WALK=0.1196,EAT=0.0345,THROW=-0.0611,PLAY=-0.0649,GO=-0.1440,OPEN=-0.1598,GIVE=-0.2707,HOLD=-0.3898,PICK=-0.6159
13,rand,3_1b_task1 3028-3478,TAKE,,,,,,,,,,,,,,
